branch_clean,maps_to_branch_id,exams,total_rows,total_colleges,suggested_primary_branch,note
ELECTRONICS AND COMMUNICATION(ADVANCED COMMUNICATION TECHNOLOGY),ELEC,KCET,14,1,Electrical / Electronics / Communications Engineering,
ELECTRONICS AND TELECOMMUNIC ATION ENGINEERING,ELEC,CollegeFees,88,7,Electrical / Electronics / Communications Engineering,
ELECTRONICS AND TELECOMMUNICATION ENGINEERING,ELEC,KCET,106,9,Electrical / Electronics / Communications Engineering,
ELECTRONICS COMMUNICATION AND INSTRUMENTATION ENGINEERING,ELEC,TG-EAPCET,22,1,Electrical / Electronics / Communications Engineering,
ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),ELEC,GUJCET; TG-EAPCET; WBJEE,201,13,Electrical / Electronics / Communications Engineering,
ELECTRONICS ENGINEERING(VLSI DESIGN & TECHNOLOGY),ELEC,KCET,55,9,Electrical / Electronics / Communications Engineering,
Electronics & Communication,ELEC,KEAM,1050,97,Electrical / Electronics / Communications Engineering,
Electronics & Communication Engineering,ELEC,OJEE; WBJEE,1871,151,Electrical / Electronics / Communications Engineering,
"Electronics & Communication Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",ELEC,JoSAA,125,1,Electrical / Electronics / Communications Engineering,
Electronics & Communication Engineering (Industry Integrated),ELEC,WBJEE,3,1,Electrical / Electronics / Communications Engineering,
Electronics & Communication Engineering (Vlsi Design),ELEC,WBJEE,3,1,Electrical / Electronics / Communications Engineering,
Electronics & Communication Engineering/Electronics & Telecommunication Engineering,ELEC,WBJEE,378,92,Electrical / Electronics / Communications Engineering,
Electronics & Telecommunication Engineering,ELEC,MHT-CET; OJEE,74,23,Electrical / Electronics / Communications Engineering,
Electronics And Communication Engineering,ELEC,AP-EAPCET,4218,213,Electrical / Electronics / Communications Engineering,expanded from EAPCET code ECE (official course list)
Electronics And Communication Engineering (Bio Medical Engg.),ELEC,AP-EAPCET,4,1,Electrical / Electronics / Communications Engineering,expanded from EAPCET code EBM (official course list)
Electronics And Communication Engineering (Industry Integrated),ELEC,AP-EAPCET,56,2,Electrical / Electronics / Communications Engineering,expanded from EAPCET code EII (official course list)
Electronics And Communication Engineering - Embedded Systems,ELEC,AP-EAPCET,36,1,Electrical / Electronics / Communications Engineering,expanded from EAPCET code ECES (official course list)
Electronics And Communication Engineering - Vlsi Design,ELEC,AP-EAPCET,36,1,Electrical / Electronics / Communications Engineering,expanded from EAPCET code ECV (official course list)
Electronics And Communication Technology,ELEC,AP-EAPCET,20,1,Electrical / Electronics / Communications Engineering,expanded from EAPCET code ECT (official course list)
Electronics Engineering ( VLSI Design and Technology),ELEC,MHT-CET,216,11,Electrical / Electronics / Communications Engineering,
Electronics Engineering (VLSI Design & Technology),ELEC,KEAM,95,6,Electrical / Electronics / Communications Engineering,
Electronics Engineering (VLSI Design and Technology),ELEC,OJEE; TNEA,134,28,Electrical / Electronics / Communications Engineering,
Electronics Engineering (Vlsi Design And Technology),ELEC,AP-EAPCET,74,4,Electrical / Electronics / Communications Engineering,expanded from EAPCET code EVT (official course list)
Electronics and Communication (Advanced Communication Technology),ELEC,MHT-CET; TNEA,33,6,Electrical / Electronics / Communications Engineering,
Electronics and Communication Engineering,ELEC,KEAM; MHT-CET,1811,112,Electrical / Electronics / Communications Engineering,
"Electronics and Communication Engineering (Under Flexible Academic Program) (4 Years, Bachelor of Technology)",ELEC,JoSAA,60,1,Electrical / Electronics / Communications Engineering,
"Electronics and Communication Engineering (VLSI Design) (4 Years, Bachelor of Technology)",ELEC,JoSAA,36,1,Electrical / Electronics / Communications Engineering,
"Electronics and Communication Engineering - Design and Manufacturing (4 Years, Bachelor of Technology)",ELEC,JoSAA,60,2,Electrical / Electronics / Communications Engineering,
"Electronics and Communication Engineering - Design and Manufacturing + M. Tech VLSI & Electronic System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",ELEC,JoSAA,27,1,Electrical / Electronics / Communications Engineering,
"Electronics and Communication Engineering - Design and Manufacturing + M.Tech Signal Processing & Communication System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",ELEC,JoSAA,24,1,Electrical / Electronics / Communications Engineering,
"Electronics and Communication Engineering and M.Tech (ECE) Spl. (Micro Electronics) (5 Years, Bachelor and Master of Technology (Dual Degree))",ELEC,JoSAA,39,1,Electrical / Electronics / Communications Engineering,
"Electronics and Communication Engineering and M.Tech Communication and Network (5 Years, Bachelor and Master of Technology (Dual Degree))",ELEC,JoSAA,36,1,Electrical / Electronics / Communications Engineering,
"Electronics and Communication Engineering and M.Tech. Bio-Medical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ELEC,JoSAA,39,1,Electrical / Electronics / Communications Engineering,
"Electronics and Communication Engineering with specialization in Design and Manufacturing + M. Tech - Signal Processing and Communication Systems Design (5 Years, Bachelor and Master of Technology (Dual Degree))",ELEC,JoSAA,28,1,Electrical / Electronics / Communications Engineering,
"Electronics and Communication Engineering with specialization in Design and Manufacturing + M. Tech - VLSI and Electronic Systems Design (5 Years, Bachelor and Master of Technology (Dual Degree))",ELEC,JoSAA,28,1,Electrical / Electronics / Communications Engineering,
Electronics and Communication(Advanced Communication Technology),ELEC,MHT-CET,93,4,Electrical / Electronics / Communications Engineering,
"Electronics and Instrumentation Engineering and M.Tech VLSI Design and Embedded (5 Years, Bachelor and Master of Technology (Dual Degree))",ELEC,JoSAA,36,1,Electrical / Electronics / Communications Engineering,
"Electronics and Telecommunication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ELEC,JoSAA,54,1,Electrical / Electronics / Communications Engineering,
"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",ENERGYENG,JoSAA,42,1,Energy Engineering,
B TECH IN ENERGY ENGINEERING,ENERGYENG,KCET,1,1,Energy Engineering,
"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ENERGYENG,JoSAA,290,1,Energy Engineering,
Climate Change,ENVENG,GUJCET,1,1,Environmental Engineering,
ENVIRONMENTA L ENGINEERING,ENVENG,CollegeFees,11,1,Environmental Engineering,
ENVIRONMENTAL SCIENCE & TECHNOLOGY,ENVENG,GUJCET; TNEA,2,2,Environmental Engineering,
"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ENVENG,JoSAA,291,1,Environmental Engineering,
"FIRE AND ENVIRONMENT, HEALTH, SAFETY ENGINEERING",ENVENG,GUJCET,2,1,Environmental Engineering,
"Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",FISH,JoSAA,352,1,Fishery Science,
"Material Science (5 Years, Bachelor of Science and Master of Science (Dual Degree))",FISH,JoSAA,25,1,Fishery Science,
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",FOODENG,JoSAA,410,1,Food Engineering,
"B.Tech. (Food Engineering and Technology) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))",FOODENG,JoSAA,18,1,Food Engineering,
FOOD ENGINEERING & TECHNOLOGY,FOODENG,GUJCET,1,1,Food Engineering,
FOOD PROCESSING TECHNOLOGY,FOODENG,GUJCET,2,1,Food Engineering,
"Food Technology (5 Years, Integrated Master of Science)",FOODENG,JoSAA,97,1,Food Engineering,
"Applied Geology (5 Years, Integrated Master of Science)",GEO,JoSAA,217,1,Geology / Geophysics / Geological Technology,
INSTRUMENTATION & CONTROL ENGINEERING,INSTRENG,GUJCET,36,7,Instrumentation Engineering,
Instrumentation & Control Engg.,INSTRENG,KEAM,65,2,Instrumentation Engineering,
Instrumentation Engineering And Technology,INSTRENG,AP-EAPCET,20,1,Instrumentation Engineering,expanded from EAPCET code IST (official course list)
B.A. LL.B. (Hons.),LLB,CLAT,328,26,LLB,
B.B.A. LL.B. (Hons.),LLB,CLAT,90,8,LLB,
B.Com. LL.B. (Hons.),LLB,CLAT,15,1,LLB,
B.Sc. LL.B. (Hons.) Criminology and Forensic Science,LLB,CLAT,10,1,LLB,
Marine Engineering/Marine Technology,MARINE,WBJEE,10,1,Marine / Ocean Engineering,
Naval Arch. & Ship Building Engineering,MARINE,KEAM,32,2,Marine / Ocean Engineering,
"Applied Mathematics (5 Years, Integrated Master of Science)",MNC,JoSAA,226,1,Mathematics And Computing,
B TECH IN MATHAMATICS AND COMPUTING,MNC,KCET,8,1,Mathematics And Computing,
Integrated MSc in Mathematics and Computing,MNC,OJEE,3,1,Mathematics And Computing,
"Mathematics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",MNC,JoSAA,146,1,Mathematics And Computing,
"Mathematics and Computing (5 Years, Integrated Master of Technology)",MNC,JoSAA,521,4,Mathematics And Computing,
B TECH IN MECHANICAL ENGINEERING,MECHENG,CollegeFees; KCET,62,9,Mechanical / Mechatronics Engineering ,
B. Tech in Mechanical Engineering & M.Tech in Machine Design (5 year integrated UG & PG),MECHENG,OJEE,3,1,Mechanical / Mechatronics Engineering ,
"B. Tech. Mechanical Engineering and M. Tech. Mechanical Engineering with specialization in Advanced Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",MECHENG,JoSAA,65,1,Mechanical / Mechatronics Engineering ,
"B. Tech. Mechanical Engineering and M. Tech. in Mechanical Engineering with specialization in Product Design (5 Years, Bachelor and Master of Technology (Dual Degree))",MECHENG,JoSAA,78,1,Mechanical / Mechatronics Engineering ,
B.TECH IN MECHANICAL AND AEROSPACE ENGINEERING,MECHENG,KCET,1,1,Mechanical / Mechatronics Engineering ,
"B.Tech. (Mechanical Engineering) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))",MECHENG,JoSAA,19,1,Mechanical / Mechatronics Engineering ,
BTECH IN MECHANICAL AND SMART MANUFACTURING,MECHENG,KCET,1,1,Mechanical / Mechatronics Engineering ,
MECHANICAL (MECHTRONICS) ENGINEERING,MECHENG,TG-EAPCET,22,1,Mechanical / Mechatronics Engineering ,
MECHANICAL AND AUTOMATION ENGINEERING,MECHENG,TNEA,13,4,Mechanical / Mechatronics Engineering ,
MECHANICAL AND RAIL ENGINEERING,MECHENG,MHT-CET,23,1,Mechanical / Mechatronics Engineering ,
MECHANICAL AND SMART MANUFACTURING,MECHENG,KCET; OJEE,6,3,Mechanical / Mechatronics Engineering ,
MECHANICAL ENGINEERING (MANUFACTURING),MECHENG,TNEA,5,1,Mechanical / Mechatronics Engineering ,
MECHANICAL ENGINEERING (SUSTAINABLE ENERGY ENGINEERING),MECHENG,GUJCET,1,1,Mechanical / Mechatronics Engineering ,
MECHANICAL ENGINEERING (TAMIL MEDIUM),MECHENG,TNEA,57,13,Mechanical / Mechatronics Engineering ,
Mechanical (Automobile),MECHENG,KEAM,10,2,Mechanical / Mechatronics Engineering ,
Mechanical Automotive Design,MECHENG,AP-EAPCET,37,1,Mechanical / Mechatronics Engineering ,expanded from EAPCET code MAD (official course list)
Mechanical Engg. (Automobile),MECHENG,KEAM,22,2,Mechanical / Mechatronics Engineering ,
Mechanical Engineering (Automobile),MECHENG,AP-EAPCET; TNEA,47,3,Mechanical / Mechatronics Engineering ,expanded from EAPCET code MAU (official course list)
"Mechanical Engineering (D and M) and M.Tech (Advanced Manufacturing) (5 Years, Bachelor and Master of Technology (Dual Degree))",MECHENG,JoSAA,24,1,Mechanical / Mechatronics Engineering ,
"Mechanical Engineering (D and M) and M.Tech (Product Design) (5 Years, Bachelor and Master of Technology (Dual Degree))",MECHENG,JoSAA,24,1,Mechanical / Mechatronics Engineering ,
Mechanical Engineering (Industry Integrated),MECHENG,AP-EAPCET; KEAM,28,3,Mechanical / Mechatronics Engineering ,expanded from EAPCET code MII (official course list)
"Mechanical Engineering (Manuacturing Engineering) (4 Years, Bachelor of Technology)",MECHENG,JoSAA,90,1,Mechanical / Mechatronics Engineering ,
Mechanical Engineering (Robotics),MECHENG,AP-EAPCET,56,2,Mechanical / Mechatronics Engineering ,expanded from EAPCET code MRB (official course list)
"Mechanical Engineering (Welding Technology) (4 Years, Bachelor of Technology)",MECHENG,JoSAA,88,1,Mechanical / Mechatronics Engineering ,
Mechanical Engineering Automobile,MECHENG,MHT-CET,8,1,Mechanical / Mechatronics Engineering ,
"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",MECHENG,JoSAA,342,1,Mechanical / Mechatronics Engineering ,
"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",MECHENG,JoSAA,342,1,Mechanical / Mechatronics Engineering ,
"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",MECHENG,JoSAA,297,1,Mechanical / Mechatronics Engineering ,
"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",MECHENG,JoSAA,431,1,Mechanical / Mechatronics Engineering ,
"Mechanical Engineering with specialization in Design and Manufacturing + M. Tech - Advanced Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",MECHENG,JoSAA,35,1,Mechanical / Mechatronics Engineering ,
"Mechanical Engineering with specialization in Design and Manufacturing + M. Tech - Product Design (5 Years, Bachelor and Master of Technology (Dual Degree))",MECHENG,JoSAA,28,1,Mechanical / Mechatronics Engineering ,
"Mechanical Engineering with specialization in Smart Manufacturing (4 Years, Bachelor of Technology)",MECHENG,JoSAA,29,1,Mechanical / Mechatronics Engineering ,
"Mechanical Engineering- Design and Manufacturing (4 Years, Bachelor of Technology)",MECHENG,JoSAA,54,2,Mechanical / Mechatronics Engineering ,
Mechanical and Automation Engineering,MECHENG,MHT-CET,4,1,Mechanical / Mechatronics Engineering ,
Mechanical and Smart Manufacturing,MECHENG,TNEA,7,1,Mechanical / Mechatronics Engineering ,
"Mechanical – Smart Manufacturing (4 Years, Bachelor of Technology)",MECHENG,JoSAA,30,1,Mechanical / Mechatronics Engineering ,
B TECH IN MECHATRONICS ENGINEERING,MECHENG,KCET,10,1,Mechanical / Mechatronics Engineering ,
MECHATRONICS,MECHENG,GUJCET; KCET; TNEA,17,7,Mechanical / Mechatronics Engineering ,
Mechanical & Mechatronics Engineering(Additive Manufacturing),MECHENG,OJEE,1,1,Mechanical / Mechatronics Engineering ,
Mechanical And Mechatronics Engineering (Additive Manufacturing),MECHENG,AP-EAPCET,36,1,Mechanical / Mechatronics Engineering ,expanded from EAPCET code MMM (official course list)
"Mechanical Engineering and M.Tech Mechatronics and Automation (5 Years, Bachelor and Master of Technology (Dual Degree))",MECHENG,JoSAA,42,1,Mechanical / Mechatronics Engineering ,
Mechanical and Mechatronics Engineering (Additive Manufacturing),MECHENG,MHT-CET; TNEA,53,5,Mechanical / Mechatronics Engineering ,
CERAMIC ENGINEERING AND TECHNOLOGY,CERAMIC,WBJEE,50,2,Ceramic Engineering,
CERAMIC TECHNOLOGY,CERAMIC,TNEA,7,1,Ceramic Engineering,
CERAMICS & CEMENT ENGINEERING,CERAMIC,KCET,1,1,Ceramic Engineering,
Ceramic Enginering And Technology,CERAMIC,WBJEE,41,2,Ceramic Engineering,
METALLURGICAL AND MATERIALS ENGINEERING,MEMS,GUJCET,5,1,Metallurgy Engineering And Material Science,
METALLURGICAL ENGINEERING,MEMS,TG-EAPCET; TNEA,42,4,Metallurgy Engineering And Material Science,
METALLURGY AND MATERIAL ENGINEERING,MEMS,TG-EAPCET,22,1,Metallurgy Engineering And Material Science,
"Materials Science and Technology (4 Years, Bachelor of Technology)",MEMS,JoSAA,54,1,Metallurgy Engineering And Material Science,
"Materials and Metallurgical Engineering (4 Years, Bachelor of Technology)",MEMS,JoSAA,74,1,Metallurgy Engineering And Material Science,
Metallurgical And Materials Engineering,MEMS,WBJEE,91,2,Metallurgy Engineering And Material Science,
Metallurgical And Materials Engineeringwith Tfw,MEMS,WBJEE,7,2,Metallurgy Engineering And Material Science,
Metallurgical Engineering,MEMS,AP-EAPCET; OJEE; WBJEE,134,9,Metallurgy Engineering And Material Science,expanded from EAPCET code MET (official course list)
"Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of Technology (Dual Degree))",MEMS,JoSAA,189,1,Metallurgy Engineering And Material Science,
"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",MEMS,JoSAA,107,1,Metallurgy Engineering And Material Science,
"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",MEMS,JoSAA,94,1,Metallurgy Engineering And Material Science,
Metallurgical and Materials Engineering,MEMS,KEAM; OJEE,60,11,Metallurgy Engineering And Material Science,
"Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",MEMS,JoSAA,62,1,Metallurgy Engineering And Material Science,
"Metallurgy and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",MEMS,JoSAA,48,1,Metallurgy Engineering And Material Science,
"B.Tech Mining Engineering and MBA in Logistic and Supply Chain Management (IIM Mumbai) (5 Years, Integrated B. Tech. and MBA)",MININGENG,JoSAA,60,1,Mining Engineering,
Mineral Engineering,MININGENG,OJEE,4,2,Mining Engineering,
"Mineral Engineering (4 Years, Bachelor of Technology)",MININGENG,JoSAA,159,2,Mining Engineering,
Mining Engineeringwith Tfw,MININGENG,WBJEE,4,1,Mining Engineering,
"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",MININGENG,JoSAA,335,1,Mining Engineering,
BSc Nursing,NURSING,NEET,65,9,Nursing,
B.Pharm/Pharmaceutical Technology,PHARMA,WBJEE,909,104,Pharmacy,
Bpharm,PHARMA,GUJCET,480,104,Pharmacy,
Dpharm,PHARMA,GUJCET,53,30,Pharmacy,
PHARMACEUTICAL TECHNOLOGY,PHARMA,TNEA,39,9,Pharmacy,
Pharm D ( Doctor of Pharmacy),PHARMA,MHT-CET,514,27,Pharmacy,
Pharm.D (Mpc Stream),PHARMA,AP-EAPCET,243,15,Pharmacy,expanded from EAPCET code PHD (official course list)
"Pharmaceutics (4 Years, Bachelor of Pharmaceutics)",PHARMA,JoSAA,24,1,Pharmacy,
"Pharmaceutics (5 Years, Bachelor and Master of Pharmaceutics(Dual Degree))",PHARMA,JoSAA,24,1,Pharmacy,
Pharmacy (Mpc Stream),PHARMA,AP-EAPCET,297,18,Pharmacy,expanded from EAPCET code PHM (official course list)
"Applied Geophysics (4 Years, Bachelor of Science)",PHYSICS,JoSAA,60,1,Physics,
"Engineering Physics (5 Years, Integrated Master of Technology)",PHYSICS,JoSAA,24,1,Physics,
"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",PHYSICS,JoSAA,30,1,Physics,
"Exploration Geophysics (5 Years, Integrated Master of Science)",PHYSICS,JoSAA,204,1,Physics,
Integrated MSc in Applied Physics,PHYSICS,OJEE,3,1,Physics,
"Physical Science (5 Years, Integrated Bachelor of Science-Master of Science)",PHYSICS,JoSAA,48,1,Physics,
"Physics and Computational Engineering (4 Years, Bachelor of Technology)",PHYSICS,JoSAA,33,1,Physics,
B. PLAN,PLAN,OJEE,3,2,Planning,
B. PLANNING,PLAN,WBJEE,6,2,Planning,
B.PLAN,PLAN,KCET,1,1,Planning,
B.PLANNING,PLAN,TG-EAPCET,22,1,Planning,
B.Plan,PLAN,TNEA,7,1,Planning,
DIGITAL TECHNIQUES FOR DESIGN AND PLANNING,PLAN,TG-EAPCET,22,1,Planning,
Digital Techniques For Design And Planning,PLAN,AP-EAPCET,9,1,Planning,expanded from EAPCET code DTD (official course list)
Town Planning,PLAN,AP-EAPCET,18,1,Planning,expanded from EAPCET code PLG (official course list)
INDUSTRIAL & PRODUCTION ENGINEERING,INDENG,CollegeFees; KCET,29,4,Industrial / Manufacturing / Production Engineering,
INDUSTRIAL ENGINEERING & MANAGEMENT,INDENG,CollegeFees; KCET,124,10,Industrial / Manufacturing / Production Engineering,
INDUSTRIAL ENGINEERING AND MANAGEMENT,INDENG,TNEA,1,1,Industrial / Manufacturing / Production Engineering,
"Industrial Chemistry (5 Years, Integrated Master of Technology)",INDENG,JoSAA,24,1,Industrial / Manufacturing / Production Engineering,
"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",INDENG,JoSAA,355,1,Industrial / Manufacturing / Production Engineering,
Manufacturing Engineering & Technology,INDENG,OJEE,2,2,Industrial / Manufacturing / Production Engineering,
"Manufacturing Engineering (4 Years, Bachelor of Technology)",INDENG,JoSAA,138,1,Industrial / Manufacturing / Production Engineering,
"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",INDENG,JoSAA,350,1,Industrial / Manufacturing / Production Engineering,
PRINTING & PACKAGING TECHNOLOGY,INDENG,WBJEE,18,2,Industrial / Manufacturing / Production Engineering,
PRINTING & PACKING TECHNOLOGY,INDENG,TNEA,6,1,Industrial / Manufacturing / Production Engineering,
Printing Engineering/Printing Technology,INDENG,WBJEE,23,2,Industrial / Manufacturing / Production Engineering,
Printing and Packing Technology,INDENG,MHT-CET,23,1,Industrial / Manufacturing / Production Engineering,
"Quality Engineering Design and Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",INDENG,JoSAA,205,1,Industrial / Manufacturing / Production Engineering,
B TECH IN ROBOTIC ENGINEERING,ROBOENG,KCET,1,1,Robotics Engineering,
B TECH IN ROBOTICS AND AUTOMATION,ROBOENG,KCET,10,1,Robotics Engineering,
B TECH IN ROBOTICS ENGINEERING,ROBOENG,KCET,13,1,Robotics Engineering,
Robotic Engineering,ROBOENG,WBJEE,5,1,Robotics Engineering,
Robotics & Automation,ROBOENG,KEAM,71,4,Robotics Engineering,
Robotics And Automation Engineering,ROBOENG,WBJEE,1,1,Robotics Engineering,
Robotics and Automation Engineering,ROBOENG,KEAM,57,5,Robotics Engineering,
Safety & Fire Engineering,SAFETYENG,KEAM,89,4,Safety Engineering,
APPAREL TECHNOLOGY,TEXTILE,TNEA,6,1,Textile Engineering,
Apparel & Production Management,TEXTILE,WBJEE,85,2,Textile Engineering,
FASHION TECHNOLOGY,TEXTILE,TNEA,32,9,Textile Engineering,
Fashion Technology,TEXTILE,MHT-CET,11,1,Textile Engineering,
HANDLOOM AND TEXTILE TECHNOLOGY,TEXTILE,TNEA,7,1,Textile Engineering,
SILK TECHNOLOGY,TEXTILE,CollegeFees; KCET,2,2,Textile Engineering,
TEXTILE TECHNOLOGY / TEXTILE ENGINEERING,TEXTILE,TG-EAPCET,44,2,Textile Engineering,
TEXTILES TECHNOLOGY,TEXTILE,CollegeFees; KCET,3,3,Textile Engineering,
Technical Textiles,TEXTILE,MHT-CET,12,1,Textile Engineering,
Textile Chemistry,TEXTILE,MHT-CET,18,1,Textile Engineering,
